epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,15013.3,0.58239,1.24124,1.09845,1.05456,0.56751,0.56135,0.55407,0.42882,0.5456,0.54168,0.53821,0.39494,0.86124,2.01148,1.87005,1.38902,0.000236869,0.000236869,0.000236869
56,15287.7,0.59614,1.23112,1.09063,1.05361,0.47941,0.56653,0.51595,0.39788,0.47935,0.55705,0.50883,0.36824,0.86303,2.06839,1.93024,1.37365,0.000228034,0.000228034,0.000228034
57,15565.4,0.60055,1.25572,1.17476,1.0695,0.56984,0.53483,0.54201,0.42131,0.56238,0.52425,0.52592,0.39007,0.86103,2.07472,1.89767,1.36079,0.000219198,0.000219198,0.000219198
58,15836.9,0.57424,1.20603,1.06795,1.05186,0.60729,0.52436,0.56322,0.43283,0.60192,0.52083,0.55461,0.40179,0.87727,2.06732,1.82725,1.37174,0.000210362,0.000210362,0.000210362
59,16106.2,0.60545,1.27247,1.10417,1.07723,0.59867,0.53648,0.56434,0.43308,0.57739,0.5197,0.54821,0.39471,0.88199,2.19683,1.86153,1.39286,0.000201527,0.000201527,0.000201527
60,16375.7,0.59307,1.20826,1.0575,1.0576,0.62368,0.5373,0.56224,0.43284,0.61461,0.52319,0.55064,0.40746,0.85599,2.0192,1.90068,1.37813,0.000192691,0.000192691,0.000192691
61,16646.4,0.57207,1.20338,1.05892,1.05077,0.62937,0.50116,0.55683,0.43455,0.60586,0.50399,0.54681,0.40307,0.87521,2.05992,1.86267,1.39384,0.000183855,0.000183855,0.000183855
62,16915,0.59256,1.21789,1.07675,1.06823,0.56492,0.54208,0.54424,0.42068,0.5788,0.53309,0.52913,0.38873,0.86146,2.07228,1.85942,1.39044,0.000175019,0.000175019,0.000175019
63,17188.1,0.5779,1.16537,1.01919,1.04385,0.62025,0.50091,0.54749,0.42545,0.59855,0.49623,0.53336,0.39299,0.86039,2.04399,1.90755,1.38446,0.000166183,0.000166183,0.000166183
64,17469.8,0.57507,1.22216,1.04256,1.05617,0.57208,0.54064,0.55271,0.42516,0.55928,0.53556,0.53636,0.39223,0.87292,2.1354,1.88991,1.39958,0.000157348,0.000157348,0.000157348
65,17751.3,0.57556,1.21515,1.03376,1.0524,0.58376,0.53584,0.55272,0.42951,0.57071,0.52844,0.53762,0.39521,0.8635,2.10058,1.90123,1.37709,0.000148512,0.000148512,0.000148512
66,18025.5,0.56496,1.15939,0.9995,1.0414,0.60986,0.50273,0.54352,0.41789,0.5856,0.49047,0.52684,0.38756,0.87155,2.10221,1.91464,1.38706,0.000139676,0.000139676,0.000139676
67,18293.4,0.557,1.18463,1.00201,1.03506,0.52161,0.5685,0.55445,0.42666,0.60081,0.48148,0.53733,0.39404,0.87882,2.12209,1.90901,1.41337,0.000130841,0.000130841,0.000130841
68,18564.4,0.57976,1.18655,1.00758,1.05342,0.64547,0.53966,0.57562,0.44548,0.63469,0.53044,0.56046,0.41367,0.87278,2.05458,1.81311,1.39094,0.000122005,0.000122005,0.000122005
69,18835.6,0.5403,1.11559,0.93897,1.02635,0.61389,0.54145,0.57681,0.43586,0.60019,0.53126,0.55473,0.40867,0.88282,2.06497,1.84111,1.40291,0.000113169,0.000113169,0.000113169
70,19106.1,0.55614,1.1338,0.97763,1.0286,0.6317,0.54003,0.57424,0.42919,0.61481,0.52874,0.55986,0.40128,0.90212,2.11375,1.86087,1.41294,0.000104333,0.000104333,0.000104333
71,19363.5,0.49637,1.11106,1.00064,1.03472,0.57844,0.53549,0.55254,0.40862,0.56669,0.52091,0.53113,0.38276,0.93048,2.17082,1.95398,1.43781,9.54975e-05,9.54975e-05,9.54975e-05
72,19621.3,0.47292,1.04584,0.90196,1.03095,0.61798,0.51876,0.56588,0.41835,0.60737,0.51178,0.54939,0.39846,0.89451,2.19036,1.93174,1.42813,8.66618e-05,8.66618e-05,8.66618e-05
73,19880.8,0.47209,1.02209,0.8691,1.01635,0.56531,0.55292,0.56869,0.42444,0.55544,0.5471,0.55126,0.39698,0.8754,2.13617,1.8878,1.3949,7.7826e-05,7.7826e-05,7.7826e-05
74,20137.1,0.46107,1.0315,0.85622,1.01196,0.50063,0.60194,0.5501,0.41846,0.49569,0.5932,0.53504,0.38847,0.88253,2.15162,1.95666,1.40835,6.89903e-05,6.89903e-05,6.89903e-05
75,20394.1,0.45368,0.96115,0.80575,0.9975,0.56497,0.54791,0.55783,0.42322,0.54747,0.53311,0.53998,0.39358,0.86619,2.15351,1.88848,1.40402,6.01545e-05,6.01545e-05,6.01545e-05
76,20654.1,0.4278,0.94543,0.76131,0.96752,0.54845,0.6056,0.5511,0.42212,0.53344,0.58187,0.53302,0.38849,0.85872,2.13537,1.89953,1.38771,5.13187e-05,5.13187e-05,5.13187e-05
77,20910.4,0.45079,0.95738,0.77597,0.9911,0.62261,0.53303,0.57122,0.43692,0.5669,0.55644,0.54694,0.40101,0.85074,2.15001,1.87243,1.37974,4.2483e-05,4.2483e-05,4.2483e-05
78,21169.7,0.44498,0.91922,0.7693,0.99267,0.61838,0.54993,0.57323,0.44189,0.60307,0.53799,0.5538,0.40696,0.85434,2.15633,1.85061,1.38197,3.36472e-05,3.36472e-05,3.36472e-05
79,21416.5,0.46744,0.97668,0.77643,1.00845,0.656,0.53145,0.56955,0.43532,0.64243,0.52004,0.55097,0.40339,0.85498,2.14529,1.82961,1.38205,2.48115e-05,2.48115e-05,2.48115e-05
80,21682.3,0.43056,0.96967,0.79362,0.98145,0.62487,0.53766,0.57326,0.44621,0.61464,0.52786,0.55653,0.40969,0.84714,2.12377,1.83064,1.37566,1.59757e-05,1.59757e-05,1.59757e-05
